ORDER_HEAD_LINE_NO,MTL_NO,CREATED_OBJECT_TYPE,CREATED_OBJECT_ID,CREATED_PROGRAM_ID,CREATION_TIMESTAMP,LAST_UPDATED_OBJECT_TYPE,LAST_UPDATED_OBJECT_ID,LAST_UPDATE_PROGRAM_ID,LAST_UPDATE_TIMESTAMP,DATA_END_STATUS,DATA_END_OBJECT_TYPE,DATA_END_OBJECT_ID,DATA_END_PROGRAM_ID,DATA_END_TIMESTAMP,ARCHIVE_COMPLETED_FLAG,ARCHIVED_EMPLOYEE_NUM,ARCHIVED_TIMESTAMP,ARCHIVE_PROGRAM_ID,OS_STATUS_CD,MTL_SECTION_CD,MTL_STATUS_CD,OPER_FLAG,FAC_OP_CD_N,MAT_PRG_TP,PRD_PRG_TP,ORDER_PRG_TP_CD,BEF_OS_STATUS_CD,MTL_BEF_PROCESS_CD_N,PLATE_EA,MTL_REAL_WEIGHT,MTL_BASE_WEIGHT,MTL_COMPLETE_FLAG,GCS_COMP_CODE,WORKS_CODE,MAT_SHP_TP,RSV_METHOD_TP,RSV_DT,ASSEMBLY,SZ_DIR_FLAG,SZ_PARENT_SLAB_FLAG,PL_PRD_MASTER_CLS,DEPT_LOC_SITE_CD,DEST_SITE_CD,PLT_TE_PIC_QT_REVISE_TP,OVERROLL_CHECK_DATE,OVERROLL_RELEASE_DATE,OVROLL_PASS_YN_FLAG,OP_INDI_ERR_CAU_CD,OVEROLL_CD,MTL_PREVIOUS_NO_SECTION1,MTL_PREVIOUS_NO11,MTL_PREVIOUS_NO12,MTL_PREVIOUS_NO13,MTL_PREVIOUS_NO14,MTL_PREVIOUS_NO15,MTL_PREVIOUS_NO_SECTION2,MTL_PREVIOUS_NO21,MTL_PREVIOUS_NO22,MTL_PREVIOUS_NO23,MTL_PREVIOUS_NO24,MTL_PREVIOUS_NO25,MTL_PREVIOUS_NO26,MTL_PREVIOUS_NO27,MTL_PREVIOUS_NO28,MTL_PREVIOUS_NO29,MTL_PREVIOUS_NO30,PARTITION_KEY,CUST_DELIV_DT,PLT_PDT_ONL_ISP_RSH_IND_TP
01S5486871020,SBPB7733 021,B,HNMBY011,C400620522,2022/03/14 14:44:55.000000,B,HNMBY011,C400620522,2022/03/14 14:44:55.000000,,,,,,,,,,AAC,A,2,P,2A1,C,,,,,2,7852,7852,,01,P,A,,,EFSE00000000U8R,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,P,,
01S5495703270,SBPB7733 021,B,HNMBY011,C400620522,2022/03/14 14:44:55.000000,B,HNMBY011,C400620522,2022/03/14 14:44:55.000000,,,,,,,,,,AAC,A,2,P,2A1,C,,,,,1,5795,5795,,01,P,A,,,EFSE00000000U8R,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,P,,
01S5495755050,SBPB7733 021,B,HNMBY011,C400620522,2022/03/14 14:44:55.000000,B,HNMBY011,C400620522,2022/03/14 14:44:55.000000,,,,,,,,,,AAC,A,2,P,2A1,C,,,,,1,7233,7233,,01,P,A,,,EFSE00000000U8R,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,P,,
01S5483416010,SBPB7733 022,B,HNMBY011,C400620522,2022/03/14 14:44:55.000000,B,HNMBY011,C400620522,2022/03/14 14:44:55.000000,,,,,,,,,,AAC,A,2,P,2A1,C,,,,,2,7496,7496,,01,P,A,,,EFSE00000000U8R,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,P,,
01S5483417020,SBPB7733 022,B,HNMBY011,C400620522,2022/03/14 14:44:55.000000,B,HNMBY011,C400620522,2022/03/14 14:44:55.000000,,,,,,,,,,AAC,A,2,P,2A1,C,,,,,1,4511,4511,,01,P,A,,,EFSE00000000U8R,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,P,,
01S5483417030,SBPB7733 022,B,HNMBY011,C400620522,2022/03/14 14:44:55.000000,B,HNMBY011,C400620522,2022/03/14 14:44:55.000000,,,,,,,,,,AAC,A,2,P,2A1,C,,,,,1,4519,4519,,01,P,A,,,EFSE00000000U8R,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,P,,
01S5472530120,SBPB7733 031,B,HNMBY011,C400620522,2022/03/14 14:44:55.000000,B,HNMBY011,C400620522,2022/03/14 14:44:55.000000,,,,,,,,,,AAC,A,2,P,2A1,C,,,,,1,2967,2967,,01,P,A,,,EFSE00000000U8R,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,P,,
01S5472530130,SBPB7733 031,B,HNMBY011,C400620522,2022/03/14 14:44:55.000000,B,HNMBY011,C400620522,2022/03/14 14:44:55.000000,,,,,,,,,,AAC,A,2,P,2A1,C,,,,,1,2967,2967,,01,P,A,,,EFSE00000000U8R,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,P,,
01S5472530140,SBPB7733 031,B,HNMBY011,C400620522,2022/03/14 14:44:55.000000,B,HNMBY011,C400620522,2022/03/14 14:44:55.000000,,,,,,,,,,AAC,A,2,P,2A1,C,,,,,1,2967,2967,,01,P,A,,,EFSE00000000U8R,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,P,,
01S5472530150,SBPB7733 031,B,HNMBY011,C400620522,2022/03/14 14:44:55.000000,B,HNMBY011,C400620522,2022/03/14 14:44:55.000000,,,,,,,,,,AAC,A,2,P,2A1,C,,,,,1,2967,2967,,01,P,A,,,EFSE00000000U8R,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,P,,
