ORDER_HEAD_LINE_NO,OS_STATUS_CD,CREATED_OBJECT_TYPE,CREATED_OBJECT_ID,CREATED_PROGRAM_ID,CREATION_TIMESTAMP,LAST_UPDATED_OBJECT_TYPE,LAST_UPDATED_OBJECT_ID,LAST_UPDATE_PROGRAM_ID,LAST_UPDATE_TIMESTAMP,DATA_END_STATUS,DATA_END_OBJECT_TYPE,DATA_END_OBJECT_ID,DATA_END_PROGRAM_ID,DATA_END_TIMESTAMP,ARCHIVE_COMPLETED_FLAG,ARCHIVED_EMPLOYEE_NUM,ARCHIVED_TIMESTAMP,ARCHIVE_PROGRAM_ID,OS_PROCESS_STATUS,OS_PROCESS_WGT,GCS_COMP_CODE,PARTITION_KEY
01S5467828650,DAH,B,PEEZZ050,C400620527,2022/03/14 14:45:03.000000,B,PEEZZ050,C400620527,2022/03/14 14:45:03.000000,,,,,,,,,,2,1368,01,P
01S5472257170,DAH,B,PEEZZ050,C400620527,2022/03/14 14:45:03.000000,B,PEEZZ050,C400620527,2022/03/14 14:45:03.000000,,,,,,,,,,2,931,01,P
01S5442520070,FBM,B,PP101002,C400620527,2022/03/14 14:26:39.000000,B,PP140500,CallProductOSProgram,2022/03/14 14:28:45.996000,,,,,,,,,,2,1308,01,P
01S5476609040,FBM,B,PP101002,C400620527,2022/03/14 14:29:44.000000,B,PP101002,C400620527,2022/03/14 14:29:44.000000,,,,,,,,,,2,2033,01,P
01S5474215020,DAH,B,PEEZZ050,C400620527,2022/03/14 14:30:46.000000,B,PEYZZ625,CallSlabOSProgram,2022/03/14 15:00:18.481000,,,,,,,,,,2,15142,01,P
01S5458126010,FCY,B,H6C40104,C400620527,2022/03/14 14:35:02.000000,B,H6C40126_01,CallProductOSProgram,2022/03/14 14:35:08.846000,,,,,,,,,,2,4136,01,P
01S5440808040,PHE,B,PLA14055,C400620527,2022/03/14 14:35:29.000000,B,PLA14005,CallPlateOSProgram,2022/03/14 14:41:56.932000,,,,,,,,,,2,0,01,P
01S5403025010,FA3,B,ZP102110,C400620527,2022/03/14 14:36:46.000000,B,ZP102110,C400620527,2022/03/14 14:36:46.000000,,,,,,,,,,2,9409,01,L
01S5477124270,P9H,B,PLB4012R,C400620527,2022/03/14 14:37:04.000000,B,PLY17901,CallPlateOSProgram,2022/03/14 15:17:59.584000,,,,,,,,,,2,0,01,P
01S5486840090,PSE,B,PLY17901,C400620527,2022/03/14 14:37:38.000000,B,PLY17901,CallPlateOSProgram,2022/03/14 14:37:38.721000,,,,,,,,,,2,5244,01,P
01S5470847070,FA1,B,KP104001,C400620527,2022/03/14 14:23:36.000000,B,KP106002,CallProductOSProgram,2022/03/14 14:33:47.571000,,,,,,,,,,2,23328,01,L
01S5460014330,PPE,B,PLA4009R,C400620527,2022/03/14 14:24:00.000000,B,PLC14052,CallPlateOSProgram,2022/03/14 14:25:46.418000,,,,,,,,,,2,0,01,P
01S5481349020,FBE,B,PP145102,C400620527,2022/03/14 14:24:38.000000,B,H6C40101_01,CallProductOSProgram,2022/03/14 14:59:18.171000,,,,,,,,,,2,0,01,N
01S5417323010,FBM,B,PP101002,C400620527,2022/03/14 14:26:39.000000,B,PP140500,CallProductOSProgram,2022/03/14 14:28:45.384000,,,,,,,,,,2,2156,01,P
01S5474074120,DAF,B,PEEZZ613,C400620527,2022/03/14 14:29:58.000000,B,M2E01P01,CallSlabOSProgram,2022/03/14 14:46:19.645000,,,,,,,,,,2,0,01,P
01S5474074180,DAF,B,PEEZZ613,C400620527,2022/03/14 14:29:58.000000,B,M2E01P01,CallSlabOSProgram,2022/03/14 14:46:19.691000,,,,,,,,,,2,0,01,P
01S5451870050,FBE,B,KP145102,C400620527,2022/03/14 14:31:04.000000,B,KP106002,CallProductOSProgram,2022/03/14 14:51:55.776000,,,,,,,,,,2,8325,01,L
01S5473379290,PGE,B,PLA12009,C400620527,2022/03/14 15:02:40.000000,B,PLA12009,C400620527,2022/03/14 15:02:40.000000,,,,,,,,,,2,2430,01,P
01S5461821010,DAF,B,PEEZZ613,C400620527,2022/03/14 15:04:48.000000,B,PEN2X556,CallSlabOSProgram,2022/03/14 15:12:33.644000,,,,,,,,,,2,0,01,P
01S5463825010,DAF,B,PEEZZ613,C400620527,2022/03/14 15:04:48.000000,B,PEN2X556,CallSlabOSProgram,2022/03/14 15:12:33.694000,,,,,,,,,,2,0,01,P
01S5476583010,PYE,B,PLC14052,C400620527,2022/03/14 15:15:07.000000,B,PLC14053,CallPlateOSProgram,2022/03/14 15:15:17.979000,,,,,,,,,,2,0,01,P
01S5351203010,DAH,B,PEEZZ050,C400620527,2022/03/14 15:15:08.000000,B,PEN4X556,CallSlabOSProgram,2022/03/14 15:15:08.604000,,,,,,,,,,2,1617,01,P
01S5361434010,DAH,B,PEEZZ050,C400620527,2022/03/14 15:15:08.000000,B,PEN4X556,CallSlabOSProgram,2022/03/14 15:15:08.647000,,,,,,,,,,2,1681,01,P
01S5361434020,DAH,B,PEEZZ050,C400620527,2022/03/14 15:15:08.000000,B,PEN4X556,CallSlabOSProgram,2022/03/14 15:15:08.690000,,,,,,,,,,2,1573,01,P
01S5486751120,DAF,B,PEEZZ613,C400620527,2022/03/14 15:16:18.000000,B,PEEZZ613,C400620527,2022/03/14 15:16:18.000000,,,,,,,,,,2,11198,01,P
01S5402658070,PHE,B,PLA14055,C400620527,2022/03/14 15:16:25.000000,B,PLA14055,C400620527,2022/03/14 15:16:25.000000,,,,,,,,,,2,1187,01,P
01S5462712310,FBM,B,ZP108110,C400620527,2022/03/14 15:16:37.000000,B,ZP108110,C400620527,2022/03/14 15:16:37.000000,,,,,,,,,,2,5792,01,P
01S5462712440,FBM,B,ZP108110,C400620527,2022/03/14 15:16:38.000000,B,ZP108110,CallProductOSProgram,2022/03/14 15:16:40.255000,,,,,,,,,,2,13626,01,P
01S5439382210,FA1,B,PP104001,C400620527,2022/03/14 15:04:12.000000,B,PP145102,CallProductOSProgram,2022/03/14 15:04:14.864000,,,,,,,,,,2,0,01,P
01S5399027010,FBE,B,PP145102,C400620527,2022/03/14 15:04:48.000000,B,PP106002,CallProductOSProgram,2022/03/14 15:17:25.256000,,,,,,,,,,2,1659,01,P
01S5484077030,FCY,B,H6C40104,C400620527,2022/03/14 15:06:44.000000,B,H6C40126_01,CallProductOSProgram,2022/03/14 15:08:09.953000,,,,,,,,,,2,4840,01,P
01S5484512160,FCY,B,H6C40104,C400620527,2022/03/14 15:06:44.000000,B,H6C40126_01,CallProductOSProgram,2022/03/14 15:08:10.222000,,,,,,,,,,2,8134,01,P
01S5461188010,PGE,B,PLA12009,C400620527,2022/03/14 15:07:17.000000,B,PLA12009,C400620527,2022/03/14 15:07:17.000000,,,,,,,,,,2,1418,01,P
01S5465841010,FCY,B,H6C40104,C400620527,2022/03/14 15:07:43.000000,B,H6C40126_01,CallProductOSProgram,2022/03/14 15:08:14.503000,,,,,,,,,,2,1928,01,P
01S5414203070,FBM,B,PP101002,C400620527,2022/03/14 15:11:11.000000,B,PP101002,C400620527,2022/03/14 15:11:11.000000,,,,,,,,,,2,2222,01,P
01S5414203140,FBM,B,PP101002,C400620527,2022/03/14 15:11:11.000000,B,PP101002,CallProductOSProgram,2022/03/14 15:11:12.135000,,,,,,,,,,2,3470,01,P
01S5457471100,FBJ,B,PP152101,C400620527,2022/03/14 15:11:55.000000,B,PP152101,C400620527,2022/03/14 15:11:55.000000,,,,,,,,,,2,2565,01,P
01S5488429940,FBJ,B,PP152101,C400620527,2022/03/14 15:11:56.000000,B,PP152101,C400620527,2022/03/14 15:11:56.000000,,,,,,,,,,2,3306,01,P
01S5488429700,FBJ,B,PP152101,C400620527,2022/03/14 15:12:01.000000,B,PP152101,C400620527,2022/03/14 15:12:01.000000,,,,,,,,,,2,4492,01,P
01S5488409840,FBJ,B,PP152101,C400620527,2022/03/14 15:12:06.000000,B,PP152101,C400620527,2022/03/14 15:12:06.000000,,,,,,,,,,2,2399,01,P
01S5488429800,FBJ,B,PP152101,C400620527,2022/03/14 15:12:07.000000,B,PP152101,C400620527,2022/03/14 15:12:07.000000,,,,,,,,,,2,3954,01,P
